Date;Open;High;Low;Close;Adj Close;Volume
18/09/2000;3721.0;3785.5;3602.0;3653.5;3653.5;72994
19/09/2000;3658.5;3817.0;3656.0;3804.0;3804.0;70029
20/09/2000;3801.5;3874.0;3715.5;3853.0;3853.0;78832
21/09/2000;3852.0;3874.0;3744.0;3765.0;3765.0;70719
22/09/2000;3673.0;3780.0;3615.0;3776.0;3776.0;55926
25/09/2000;3776.5;3830.0;3660.0;3675.0;3675.0;51490
26/09/2000;3679.5;3754.0;3611.5;3611.5;3611.5;67220
27/09/2000;3624.0;3705.0;3580.5;3645.0;3645.0;73064
28/09/2000;3640.5;3780.0;3607.0;3758.0;3758.0;61459
29/09/2000;3730.0;3742.5;3608.0;3621.0;3621.0;57397
02/10/2000;3621.0;3668.0;3492.0;3528.5;3528.5;63100
03/10/2000;3529.0;3603.0;3385.0;3397.0;3397.0;78732
04/10/2000;3426.5;3477.5;3334.0;3477.5;3477.5;77551
05/10/2000;3460.5;3537.0;3431.5;3482.5;3482.5;69864
06/10/2000;3490.0;3509.5;3305.0;3357.5;3357.5;69256
09/10/2000;3359.5;3402.0;3222.0;3349.5;3349.5;50998
10/10/2000;3346.5;3381.0;3155.0;3160.0;3160.0;78684
11/10/2000;3191.5;3258.0;3070.5;3124.5;3124.5;88833
12/10/2000;3145.0;3224.0;3024.0;3046.5;3046.5;86281
13/10/2000;3060.5;3309.0;3021.5;3270.5;3270.5;64064
16/10/2000;3274.0;3334.0;3237.5;3316.0;3316.0;65125
17/10/2000;3308.0;3369.0;3160.5;3170.0;3170.0;79137
18/10/2000;3202.5;3296.0;3025.0;3155.0;3155.0;88887
19/10/2000;3180.0;3447.0;3180.0;3447.0;3447.0;65554
20/10/2000;3437.0;3555.5;3412.0;3499.5;3499.5;50436
23/10/2000;3498.5;3563.5;3406.0;3471.0;3471.0;65144
24/10/2000;3477.0;3535.0;3329.0;3342.5;3342.5;64818
25/10/2000;3348.5;3362.0;3108.0;3151.5;3151.5;72149
26/10/2000;3148.5;3240.0;2978.5;3227.5;3227.5;98606
27/10/2000;3189.0;3314.0;3133.5;3222.5;3222.5;66885
30/10/2000;3220.0;3234.0;3062.0;3107.5;3107.5;73396
31/10/2000;3108.5;3338.0;3100.0;3298.0;3298.0;71326
01/11/2000;3299.5;3344.0;3205.0;3267.5;3267.5;74851
02/11/2000;3263.5;3361.5;3229.5;3316.5;3316.5;57125
03/11/2000;3328.0;3387.0;3297.0;3353.0;3353.0;45893
06/11/2000;3353.0;3400.0;3311.0;3331.0;3331.0;42959
07/11/2000;3336.5;3342.5;3238.5;3314.0;3314.0;56778
08/11/2000;3313.5;3375.5;3051.5;3061.0;3061.0;75253
09/11/2000;3069.5;3107.5;2940.0;3058.0;3058.0;85910
10/11/2000;3065.0;3073.0;2892.0;2893.0;2893.0;66765
13/11/2000;2858.0;2993.0;2755.0;2829.0;2829.0;86903
14/11/2000;2826.0;3068.0;2825.0;3057.5;3057.5;72323
15/11/2000;3045.0;3116.5;3116.5;3116.5;3116.5;68294
16/11/2000;3116.5;3116.5;2932.5;2939.0;2939.0;137024
17/11/2000;2940.0;3029.5;2859.5;2939.5;2939.5;68512
20/11/2000;2929.0;2946.0;2790.0;2816.0;2816.0;71304
21/11/2000;2815.5;2879.0;2757.0;2807.5;2807.5;67362
22/11/2000;2806.5;2846.0;2677.5;2682.5;2682.5;61970
24/11/2000;2683.0;2845.0;2676.0;2829.0;2829.0;16860
27/11/2000;2848.0;2929.0;2769.0;2796.5;2796.5;69472
28/11/2000;2797.0;2829.5;2626.5;2637.5;2637.5;91534
29/11/2000;2642.5;2688.0;2525.0;2530.0;2530.0;95624
30/11/2000;2508.5;2589.0;2435.0;2530.0;2530.0;105511
01/12/2000;2530.5;2683.5;2502.5;2572.5;2572.5;81875
04/12/2000;2572.5;2628.0;2480.0;2557.5;2557.5;93602
05/12/2000;2563.0;2857.0;2530.0;2840.0;2840.0;93557
06/12/2000;2834.0;2897.0;2725.0;2737.5;2737.5;99801
07/12/2000;2741.5;2778.5;2630.0;2669.0;2669.0;14181
08/12/2000;2667.0;2924.0;2660.0;2740.5;2740.5;4182
11/12/2000;2855.0;2995.0;2848.0;2984.5;2984.5;3926
12/12/2000;2984.5;2984.5;2854.5;2867.5;2867.5;1511
13/12/2000;2899.0;2964.0;2738.5;2744.0;2744.0;1052
14/12/2000;2747.5;2787.5;2614.0;2624.0;2624.0;1170
15/12/2000;2590.0;2640.0;2556.0;2583.280029296875;2583.280029296875;82436
18/12/2000;2619.5;2692.0;2553.0;2608.5;2608.5;75148
19/12/2000;2609.5;2686.0;2393.0;2410.0;2410.0;83019
20/12/2000;2415.0;2445.5;2234.5;2269.0;2269.0;91112
21/12/2000;2275.5;2390.0;2211.0;2282.5;2282.5;92544
22/12/2000;2290.0;2474.0;2290.0;2469.0;2469.0;55613
26/12/2000;2481.5;2519.5;2374.0;2477.5;2477.5;49313
27/12/2000;2472.0;2511.5;2397.5;2506.5;2506.5;56127
28/12/2000;2510.0;2543.5;2452.5;2501.5;2501.5;49718
29/12/2000;2501.5;2529.5;2358.5;2374.5;2374.5;56717
02/01/2001;2375.0;2414.0;2130.5;2167.5;2167.5;87316
03/01/2001;2201.840087890625;2590.0;2201.840087890625;2529.5;2529.5;115138
04/01/2001;2532.0;2577.0;2464.5;2486.0;2486.0;94119
05/01/2001;2485.0;2551.0;2273.5;2293.5;2293.5;94688
08/01/2001;2290.0;2328.0;2171.0;2325.0;2325.0;92841
09/01/2001;2341.5;2397.5;2275.0;2326.0;2326.0;95281
10/01/2001;2328.0;2447.0;2261.0;2441.0;2441.0;117021
11/01/2001;2415.0;2577.0;2377.0;2512.5;2512.5;89111
12/01/2001;2499.0;2617.0;2491.0;2540.0;2540.0;87493
16/01/2001;2532.0;2557.0;2445.0;2515.5;2515.5;67902
17/01/2001;2532.5;2657.0;2517.5;2581.5;2581.5;83941
18/01/2001;2591.0;2701.0;2555.0;2694.5;2694.5;86897
19/01/2001;2720.0;2769.0;2657.0;2686.5;2686.5;86356
22/01/2001;2689.5;2712.0;2622.0;2683.0;2683.0;84234
23/01/2001;2675.0;2768.0;2641.5;2745.0;2745.0;78902
24/01/2001;2751.0;2797.0;2711.5;2714.5;2714.5;88366
25/01/2001;2708.5;2747.0;2605.5;2613.5;2613.5;93694
26/01/2001;2619.5;2663.0;2548.5;2645.5;2645.5;120230
29/01/2001;2630.0;2715.5;2593.0;2705.5;2705.5;60115
30/01/2001;2709.0;2736.5;2672.0;2697.5;2697.5;72285
31/01/2001;2694.0;2740.0;2600.0;2611.0;2611.0;83273
01/02/2001;2608.5;2647.5;2569.0;2627.5;2627.5;87703
02/02/2001;2630.0;2643.0;2478.0;2488.5;2488.5;81365
05/02/2001;2494.0;2497.0;2425.5;2481.0;2481.0;80322
06/02/2001;2486.0;2547.5;2468.0;2490.0;2490.0;84451
07/02/2001;2455.0;2462.5;2362.0;2443.5;2443.5;102210
08/02/2001;2444.5;2478.5;2361.0;2368.0;2368.0;91318
09/02/2001;2370.0;2375.0;2271.0;2277.0;2277.0;78085
12/02/2001;2276.5;2335.0;2242.0;2301.5;2301.5;93755
13/02/2001;2302.0;2388.0;2211.5;2226.0;2226.0;114525
14/02/2001;2235.0;2325.5;2181.0;2316.0;2316.0;126045
15/02/2001;2322.0;2437.0;2311.0;2356.0;2356.0;101437
16/02/2001;2339.5;2339.5;2194.0;2227.5;2227.5;80047
20/02/2001;2230.0;2275.0;2104.0;2130.0;2130.0;95274
21/02/2001;2123.0;2175.0;2050.0;2070.5;2070.5;126644
22/02/2001;2079.5;2099.0;1968.0;2051.5;2051.5;139936
23/02/2001;2044.5;2073.5;1941.0;2056.5;2056.5;122106
26/02/2001;2078.0;2113.0;2022.0;2100.0;2100.0;103234
27/02/2001;2102.5;2103.5;1967.5;1969.0;1969.0;103481
28/02/2001;1969.0;2019.5;1881.0;1913.0;1913.0;129261
01/03/2001;1905.5;1973.0;1839.5;1960.0;1960.0;122010
02/03/2001;1964.5;1996.0;1869.0;1876.5;1876.5;135910
05/03/2001;1883.5;1944.0;1877.0;1912.0;1912.0;102431
06/03/2001;1914.5;2036.5;1912.0;1985.5;1985.5;105735
07/03/2001;1985.5;2032.0;1967.0;1988.5;1988.5;106366
08/03/2001;1994.5;2026.5;1933.0;1946.0;1946.0;16525
09/03/2001;1964.5;1964.5;1804.5;1811.0;1811.0;6123
12/03/2001;1817.5;1825.0;1676.0;1691.0;1691.0;5361
13/03/2001;1714.0;1792.5;1676.5;1783.0;1783.0;6791
